Country_code,LEI_Code,Bank_name,Period,Item,Scenario,Fact_char,Amount
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,201801,213733,11,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213101,1,,3233.303345
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213102,1,,81.52985687
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213103,1,,-615.9026137
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213104,1,,894.1318593
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213105,1,,0.62436844
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213106,1,,10761.68261
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213107,1,,78841.1202
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213108,1,,0.13649835
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213109,1,,0.13649835
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213110,1,,12488.95468
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213111,1,,193910.063
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213112,1,,0.06440591
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213113,1,,0.0639508
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213117,1,No,2
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213118,1,Yes,1
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213501,1,,66025.48826
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213502,1,,954.3470505
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213503,1,,65071.14121
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213504,1,,5267.421377
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213505,1,,7548
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213506,1,,0.2105615
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213507,1,,78841.1202
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213508,1,,78841.1202
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213509,1,,78841.1202
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213601,1,,3233.303345
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213602,1,,4494.956389
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213603,1,,-1261.653044
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213604,1,,19.72292212
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213605,1,,1695.557499
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213606,1,,81.52985687
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213608,1,,18.62312953
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213609,1,,5048.736753
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213610,1,,-615.9026137
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213611,1,,-3217.611131
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213612,1,,1215.223009
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213613,1,,-321.0911492
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213614,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213615,1,,894.1318593
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213616,1,,263.0500296
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213617,1,,631.0818297
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213701,1,,14590.01851
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213702,1,,10761.68261
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213703,1,,5974.079788
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213704,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213705,1,,9095.175087
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213706,1,,-3460.324684
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213707,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213708,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213709,1,,-3460.324684
